,ATHLETE_NAME,ATHLETE_COUNTRY,ATHLETE_DISCIPLINE,COACH_NAME,COACH_COUNTRY,COACH_DISCIPLINE,COACH_EVENT,FEMALE_ENTRIES,MALE_ENTRIES,TOTAL_ENTRIES,TEAM_COUNTRY,GOLD_MEDALS,SILVER_MEDALS,BRONZE_MEDALS,TOTAL_MEDALS,RANK_BY_TOTAL
11691,REXHEPI Arbresha,North Macedonia,Judo,,,,,192,201,393,North Macedonia,0.0,1.0,0.0,1.0,77.0
11692,REY Matias Alejandro,Argentina,Hockey,RETEGUI Carlos Jose,Argentina,Hockey,Men,192,192,384,Argentina,0.0,1.0,2.0,3.0,60.0
11693,REY Matias Alejandro,Argentina,Hockey,RETEGUI Carlos Jose,Argentina,Hockey,Women,192,192,384,Argentina,0.0,1.0,2.0,3.0,60.0
11694,REYES Denyi,Dominican Republic,Baseball/Softball,GARCIA HERRERA Manuel,Dominican Republic,Baseball/Softball,Baseball,90,144,234,Dominican Republic,0.0,3.0,2.0,5.0,42.0
11695,REYES PLA Enmanuel,Spain,Boxing,,,,,102,187,289,Spain,3.0,8.0,6.0,17.0,17.0
11696,REYNOLDS Heimana,United States of America,Skateboarding,,,,,40,40,80,United States of America,39.0,41.0,33.0,113.0,1.0
11697,REYNOLDS Lauren,Australia,Cycling BMX Racing,,,,,24,24,48,Australia,17.0,7.0,22.0,46.0,6.0
11698,REYNOLDS Shannon,Australia,Canoe Sprint,,,,,123,126,249,Australia,17.0,7.0,22.0,46.0,6.0
11699,REZAEIFAR Navid,Islamic Republic of Iran,Basketball,SHAHINTAB Mehran,Islamic Republic of Iran,Basketball,Men,144,144,288,Islamic Republic of Iran,3.0,2.0,2.0,7.0,33.0
11700,REZELMAN Timothy,South Africa,Water Polo,MARTIN Paul,South Africa,Water Polo,Men,122,146,268,South Africa,1.0,2.0,0.0,3.0,60.0
11701,REZELMAN Timothy,South Africa,Water Polo,MENTOOR Delaine,South Africa,Water Polo,Women,122,146,268,South Africa,1.0,2.0,0.0,3.0,60.0
11702,REZENDE Bruno Mossa,Brazil,Volleyball,DAL ZOTTO Renan,Brazil,Volleyball,Men,144,144,288,Brazil,7.0,6.0,8.0,21.0,12.0
11703,REZENDE Bruno Mossa,Brazil,Volleyball,GUIMARAES Jose Roberto,Brazil,Volleyball,Women,144,144,288,Brazil,7.0,6.0,8.0,21.0,12.0
11704,REZENDE Renato,Brazil,Cycling BMX Racing,,,,,24,24,48,Brazil,7.0,6.0,8.0,21.0,12.0
11705,REZK MOSTAFA HAFEZ Yousry,Egypt,Boxing,,,,,102,187,289,Egypt,1.0,1.0,4.0,6.0,39.0
11706,REZNICHENKO Darya,Uzbekistan,Athletics,,,,,969,1072,2041,Uzbekistan,3.0,0.0,2.0,5.0,42.0
11707,REZNIK Kateryna,Ukraine,Artistic Swimming,FEDIUSHYNA Tetiana,Ukraine,Artistic Swimming,,105,0,105,Ukraine,1.0,6.0,12.0,19.0,16.0
11708,REZNIK Kateryna,Ukraine,Artistic Swimming,MEZHENINA Valeriia,Ukraine,Artistic Swimming,Team,105,0,105,Ukraine,1.0,6.0,12.0,19.0,16.0
11709,REZNIK Kateryna,Ukraine,Artistic Swimming,UTKIN Volodymyr,Ukraine,Artistic Swimming,,105,0,105,Ukraine,1.0,6.0,12.0,19.0,16.0
11710,REZNIK Kateryna,Ukraine,Artistic Swimming,ZAITSEVA Olesia,Ukraine,Artistic Swimming,Duet,105,0,105,Ukraine,1.0,6.0,12.0,19.0,16.0
11711,REZOLA VOISARD Ruben,Argentina,Canoe Sprint,,,,,123,126,249,Argentina,0.0,1.0,2.0,3.0,60.0
11712,RI Haku,Japan,Volleyball,ABE Junya,Japan,Volleyball,,144,144,288,Japan,27.0,14.0,17.0,58.0,5.0
11713,RI Haku,Japan,Volleyball,AGEBA Yuya,Japan,Volleyball,,144,144,288,Japan,27.0,14.0,17.0,58.0,5.0
11714,RI Haku,Japan,Volleyball,NAGAE Shoji,Japan,Volleyball,,144,144,288,Japan,27.0,14.0,17.0,58.0,5.0
11715,RI Haku,Japan,Volleyball,NAKADA Kumi,Japan,Volleyball,Women,144,144,288,Japan,27.0,14.0,17.0,58.0,5.0
11716,RI Haku,Japan,Volleyball,NAKAGAICHI Yuichi,Japan,Volleyball,Men,144,144,288,Japan,27.0,14.0,17.0,58.0,5.0
11717,RIABUSHENKO Aleksandr,Belarus,Cycling Road,,,,,70,131,201,Belarus,1.0,3.0,3.0,7.0,33.0
11718,RIBEIRO Aline,Brazil,Rugby Sevens,BRODERICK William,Brazil,Rugby Sevens,Women,146,151,297,Brazil,7.0,6.0,8.0,21.0,12.0
11719,RIBEIRO Gustavo,Portugal,Skateboarding,,,,,40,40,80,Portugal,1.0,1.0,2.0,4.0,47.0
11720,RIBEIRO Joao,Portugal,Canoe Sprint,,,,,123,126,249,Portugal,1.0,1.0,2.0,4.0,47.0
11721,RIBEIRO Sara Catarina,Portugal,Athletics,,,,,969,1072,2041,Portugal,1.0,1.0,2.0,4.0,47.0
11722,RICCHI Beatrice,Italy,Baseball/Softball,PALERMI Giovanna,Italy,Baseball/Softball,Softball,90,144,234,Italy,10.0,10.0,20.0,40.0,7.0
11723,RICCHI Beatrice,Italy,Baseball/Softball,PIZZOLINI Federico,Italy,Baseball/Softball,Softball,90,144,234,Italy,10.0,10.0,20.0,40.0,7.0
11724,RICH-BAGHUELOU Jay,Australia,Football,ARNOLD Graham,Australia,Football,Men,264,344,608,Australia,17.0,7.0,22.0,46.0,6.0
11725,RICH-BAGHUELOU Jay,Australia,Football,GUSTAVSSON Tony,Australia,Football,Women,264,344,608,Australia,17.0,7.0,22.0,46.0,6.0
11726,RICHARDS Alexander,United States of America,Rowing,,,,,257,265,522,United States of America,39.0,41.0,33.0,113.0,1.0
11727,RICHARDS Evie,Great Britain,Cycling Mountain Bike,,,,,38,38,76,Great Britain,22.0,21.0,22.0,65.0,4.0
11728,RICHARDS Jereem,Trinidad and Tobago,Athletics,,,,,969,1072,2041,,,,,,
11729,RICHARDS Matthew,Great Britain,Swimming,,,,,361,418,779,Great Britain,22.0,21.0,22.0,65.0,4.0
11730,RICHARDSON Matthew,Australia,Cycling Track,,,,,90,99,189,Australia,17.0,7.0,22.0,46.0,6.0
11731,RICHARDSON Melvyn,France,Handball,GILLE Guillaume,France,Handball,Men,168,168,336,France,10.0,12.0,11.0,33.0,10.0
11732,RICHARDSON Melvyn,France,Handball,KRUMBHOLZ Olivier,France,Handball,Women,168,168,336,France,10.0,12.0,11.0,33.0,10.0
11733,RICHARDSSON Camilla,Finland,Athletics,,,,,969,1072,2041,Finland,0.0,0.0,2.0,2.0,66.0
11734,RICHARLISON,Brazil,Football,JARDINE Andre,Brazil,Football,Men,264,344,608,Brazil,7.0,6.0,8.0,21.0,12.0
11735,RICHARLISON,Brazil,Football,SUNDHAGE Pia Mariane,Brazil,Football,Women,264,344,608,Brazil,7.0,6.0,8.0,21.0,12.0
11736,RICHTER Marco,Germany,Football,BUSENKELL Axel,Germany,Football,,264,344,608,Germany,10.0,11.0,16.0,37.0,8.0
11737,RICHTER Marco,Germany,Football,KUNTZ Stefan,Germany,Football,Men,264,344,608,Germany,10.0,11.0,16.0,37.0,8.0
11738,RICHTER Sergey,Israel,Shooting,,,,,178,178,356,Israel,2.0,0.0,2.0,4.0,47.0
11739,RICKETTS Shanieka,Jamaica,Athletics,,,,,969,1072,2041,Jamaica,4.0,1.0,4.0,9.0,26.0
11740,RICKLES Nick,Israel,Baseball/Softball,FISH Nathan,Israel,Baseball/Softball,Baseball,90,144,234,Israel,2.0,0.0,2.0,4.0,47.0
